Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
122442,22442,73.47490200344,47.29731167134,254932873395274496,0.1539,0.139,0.129,0.052,16.127708,0.00279,16.49325,0.005334,15.562225,0.004152,,,0.931025,0.365541,0.565483,,10280.6,3890.6428,1.7927,33.097466,2.354,,0.59158504,B      
49219,49219,334.60399377857,49.24245852999,1999723170869556992,0.6199,2.521,0.383,-2.492,12.182547,0.002762,12.275526,0.002853,12.010695,0.003802,11.987987,0.022871,0.264831,0.092979,0.171851,,9196.1,1779.5402,2.966,44.72265,2.363,0.486,0.45008174,A      
111769,11769,77.52030722862,42.76720355129,201496707067593344,0.8103,1.831,0.311,-1.804,16.674911,0.003114,16.921091,0.004157,16.086565,0.004951,,,0.834526,0.24618,0.588347,,9752.9,4262.009,1.444,16.55821,,,0.8083647,B      
129533,29533,26.65451253949,52.34969562511,407868343747942528,0.5421,1.108,-0.525,-0.976,10.613328,0.002799,10.643887,0.003092,10.52902,0.003857,,,0.114866,0.030559,0.084308,,13695.1,1310.5089,3.1279,613.72345,4.465,,0.8071834,B      
182857,82857,296.59285710502,16.67614141359,1820707112951241216,0.4362,4.875,-1.025,-4.766,13.728955,0.002771,13.920674,0.002934,13.389657,0.004252,,,0.531017,0.191719,0.339298,,9600.0,2248.831,2.2321,35.245728,2.292,0.379,0.59304726,B      
8259,8259,69.49349359358,43.45312145474,252393173332845440,1.6318,3.788,-2.809,-2.541,10.671841,0.00276,10.84944,0.002821,10.354717,0.003786,10.19982,0.006907,0.494722,0.177599,0.317123,,9666.8,599.4285,2.3688,46.492596,2.42,0.394,0.6210936,A      
162310,62310,24.48389122887,61.03167370821,509922264267296384,0.4242,1.493,-1.294,-0.744,12.998989,0.002762,13.238193,0.002825,12.603296,0.003795,,,0.634896,0.239203,0.395693,,9995.2,2702.7854,4.0796,106.44738,2.869,0.339,0.4240015,B      
169083,69083,33.70874142314,63.07089619912,514698096101016576,0.1812,1.338,-1.149,0.685,16.09547,0.002773,16.489388,0.003892,15.499263,0.004433,,,0.990125,0.393917,0.596208,,12146.7,4042.5208,1.7795,66.201744,2.892,,0.7914161,B      
103770,3770,76.85867057294,36.34345217157,185721674442475136,0.1282,0.822,0.773,-0.28,15.380587,0.00277,15.799251,0.003255,14.769,0.004017,,,1.030251,0.418664,0.611587,,9964.9,3355.8193,2.3611,55.325714,2.522,0.357,0.6301717,B      
86202,86202,121.98380646763,-10.17716979769,3038337724357568128,1.5401,9.184,-9.149,-0.806,11.58206,0.002818,11.756001,0.002814,11.229087,0.003788,11.090393,0.010361,0.526914,0.173941,0.352973,,7287.4,567.6985,1.6841,9.333164,1.64,1.112,0.6731577,A      
98312,98312,99.87906775556,0.53079736159,3119761851794078976,2.2474,4.511,-2.778,-3.554,8.980885,0.002788,9.034439,0.00286,8.853748,0.003804,8.784779,0.005462,0.180691,0.053555,0.127136,,9701.8,404.55,2.6192,67.3273,2.598,0.397,0.6544782,A      
43460,43460,327.62124532505,39.74083615728,1953409061040456448,2.0208,2.636,-0.45,2.598,10.652824,0.002763,10.85756,0.003091,10.275275,0.00439,10.12164,0.014725,0.582285,0.204736,0.377549,,7443.3,523.0535,2.4831,15.095006,1.806,1.101,0.4216158,A      
154996,54996,63.69957001664,58.83558963466,470247383606452864,0.1905,0.329,-0.297,0.142,15.412759,0.002786,15.692445,0.003434,14.909114,0.004,,,0.783331,0.279686,0.503645,,12177.6,4697.478,2.3933,115.384575,3.158,,0.6113113,B      
135955,35955,0.20293454104,61.50396956123,429517899508262144,0.263,3.165,-3.056,-0.826,12.777014,0.00281,12.947698,0.003151,12.469036,0.004047,,,0.478662,0.170684,0.307978,,14213.7,4207.8027,5.0137,773.75183,4.845,,0.49698836,B      
47758,47758,341.88233972855,51.81350691142,1989925182234811648,1.0658,5.218,-5.109,-1.061,10.764922,0.002779,10.874483,0.002833,10.545082,0.003788,10.447995,0.006524,0.329401,0.109561,0.21984,,9090.9,916.8306,3.0789,61.5396,2.508,0.484,0.5214632,A      
63672,63672,274.99587957715,45.59108330884,2121271496952301824,1.6586,20.895,6.303,19.921,10.251713,0.002781,10.37158,0.00286,10.036786,0.003794,9.95504,0.006466,0.334794,0.119867,0.214927,,7672.8,715.7936,3.2237,22.666603,1.978,0.929,0.4498462,A      
41411,41411,337.27693106963,21.39299892019,1874004186703496448,4.6805,20.155,-1.628,-20.089,7.696163,0.002772,7.867025,0.002844,7.382622,0.003798,7.265648,0.004948,0.484404,0.170862,0.313541,,6824.7,211.5363,3.7245,27.45311,2.038,1.044,0.32038566,A      
19303,19303,31.26994481128,53.94769867993,456284788523201920,1.2291,4.886,4.141,-2.595,10.549125,0.002764,10.689153,0.002823,10.292299,0.003791,10.167727,0.010896,0.396853,0.140028,0.256825,,8329.3,864.4724,3.5052,46.74926,2.336,0.628,0.44378445,A      
123912,23912,65.87623171067,48.00161995093,257970171187488896,0.8817,1.504,0.75,-1.304,9.639517,0.002809,9.916774,0.003204,9.182131,0.004051,,,0.734643,0.277257,0.457386,,15000.8,1297.8364,8.0619,2092.5579,5.933,,0.4913114,B      
20836,20836,69.02976515785,61.67136830192,472527392764224128,1.5132,1.815,-1.491,-1.034,12.689503,0.002759,13.086878,0.002834,12.122418,0.003792,11.859828,0.017284,0.964459,0.397375,0.567084,,7168.9,641.3239,1.7055,8.246824,1.622,0.808,0.57108253,A      
127281,27281,61.64181285809,54.29609718924,276172792345429120,0.632,1.512,1.111,-1.025,14.251676,0.002808,14.772941,0.002952,13.408375,0.003837,,,1.364566,0.521265,0.843301,,12377.0,2635.048,3.7123,95.17821,3.089,,0.5055377,B      
143928,43928,40.61437165511,53.78609793125,453887200342483584,0.2422,1.271,-1.043,-0.726,15.012527,0.002777,15.197055,0.003053,14.693136,0.004005,,,0.503919,0.184528,0.31939,,9978.2,3335.608,1.7603,34.26251,2.328,0.234,0.7856904,B      
158893,58893,32.24833041811,59.48214593452,507117959857793024,0.2291,1.283,-1.118,-0.629,15.273768,0.002767,15.79939,0.003323,14.569541,0.003851,,,1.229849,0.525621,0.704227,,10990.9,3762.9514,3.1179,129.27843,3.064,0.251,0.4993332,B      
118101,18101,58.14881188909,35.76034851942,219778119400114432,0.3535,3.983,3.422,-2.038,16.956345,0.002865,16.932299,0.005535,16.97628,0.009493,,,-0.043982,-0.024046,-0.019936,,9996.8,6785.4287,0.9419,8.229771,,,0.97708005,B      
21879,21879,56.7883083494,69.59511567779,494478145978522496,2.1825,4.613,-3.977,-2.337,10.908633,0.00276,11.183848,0.002824,10.465548,0.003789,10.275349,0.006076,0.718301,0.275215,0.443086,,8733.7,454.5374,2.0183,21.806473,2.033,0.541,0.6235526,A      
